Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
Cooking rice takes a longer time than cooking instant noodles.,Memasak nasi lebih lama daripada memasak mi instan.
Memasak nasi lebih lama daripada memasak mi instan.,Cooking rice takes a longer time than cooking instant noodles.
Do you believe in ghosts?,Apakah kamu percaya akan hantu?
Apakah kamu percaya akan hantu?,Do you believe in ghosts?
"Can I have some water, please?",Boleh minta air?
Boleh minta air?,"Can I have some water, please?"
My brother is very busy photographing the scenery around the villa.,Kakak saya sangat sibuk memotret pemandangan di sekitar villa.
Kakak saya sangat sibuk memotret pemandangan di sekitar villa.,My brother is very busy photographing the scenery around the villa.
Dani brings a lunchbox to school everyday.,Dani membawa bekal makanan ke sekolah setiap hari.
Dani membawa bekal makanan ke sekolah setiap hari.,Dani brings a lunchbox to school everyday.
They are bringing their own hiking equipment.,Mereka membawa peralatan mendaki masing - masing.
Mereka membawa peralatan mendaki masing - masing.,They are bringing their own hiking equipment.
Are you ready to take over the new job from next month on?,Apakah Anda siap untuk mengambil alih pekerjaan baru mulai bulan depan?
Apakah Anda siap untuk mengambil alih pekerjaan baru mulai bulan depan?,Are you ready to take over the new job from next month on?
The manager is ready for his task.,Manajer itu telah siap dengan tugasnya.
Manajer itu telah siap dengan tugasnya.,The manager is ready for his task.
It's a camera.,Ini adalah kamera.
Ini adalah kamera.,It's a camera.
I can go home after I've finished.,Saya bisa pulang sesudah saya selesai.
Saya bisa pulang sesudah saya selesai.,I can go home after I've finished.
"After getting the confirmation letter, you ca n apply for a visa.","Setelah mendapatkan surat konfirmasi, kamu bisa mengajukan permohonan visa."
"Setelah mendapatkan surat konfirmasi, kamu bisa mengajukan permohonan visa.","After getting the confirmation letter, you ca n apply for a visa."
Visit our websites for further information.,Kunjungi situs kami untuk keterangan lebih lanjut.
Kunjungi situs kami untuk keterangan lebih lanjut.,Visit our websites for further information.
My house is located near the hospital.,Rumah saya berada di dekat rumah sakit.
Rumah saya berada di dekat rumah sakit.,My house is located near the hospital.
I wonder why he never calls on w eekdays.,Saya heran kenapa dia tidak pernah menelepon di hari kerja.
Saya heran kenapa dia tidak pernah menelepon di hari kerja.,I wonder why he never calls on w eekdays.
"On weekdays, Sudirman main road is a lways crowded with vehicles.","Pada hari kerja, jalanan utama Sudirman selalu ramai dengan kendaraan."
"Pada hari kerja, jalanan utama Sudirman selalu ramai dengan kendaraan.","On weekdays, Sudirman main road is a lways crowded with vehicles."
"For economy class, the seats of the airline a re quite comfortable.","Untuk kelas ekonomi, tempat duduk di penerbangan itu cukup nyaman."
"Untuk kelas ekonomi, tempat duduk di penerbangan itu cukup nyaman.","For economy class, the seats of the airline a re quite comfortable."
The next train to London will arrive in t hirty minutes.,Kereta menuju London yang selanjutnya akan tiba dalam tiga puluh menit.
Kereta menuju London yang selanjutnya akan tiba dalam tiga puluh menit.,The next train to London will arrive in t hirty minutes.
"Because of his hectic schedule, he forgot t o call his wife.","Karena kesibukan kerjanya, dia lupa menelepon isterinya."
"Karena kesibukan kerjanya, dia lupa menelepon isterinya.","Because of his hectic schedule, he forgot t o call his wife."
The distance from the station to our house i s about two kilometers.,Jarak dari stasiun ke rumah kami sekitar dua kilometer.
Jarak dari stasiun ke rumah kami sekitar dua kilometer.,The distance from the station to our house i s about two kilometers.
"Even on Sunday, he goes to work.","Bahkan di hari Minggu, dia berangkat kerja."
"Bahkan di hari Minggu, dia berangkat kerja.","Even on Sunday, he goes to work."
"The movie will start soon, please be quiet.","Filemnya akan segera mulai, harap tenang."
"Filemnya akan segera mulai, harap tenang.","The movie will start soon, please be quiet."
Father Benjamin graduated from Malang Theological School.,Pendeta Benjamin seorang lulusan Sekolah Teologi Malang.
Pendeta Benjamin seorang lulusan Sekolah Teologi Malang.,Father Benjamin graduated from Malang Theological School.
The service in the Catholic Church is usually held on Sunday.,Kebaktian di gereja Katolik biasanya diselenggarakan di hari Minggu.
Kebaktian di gereja Katolik biasanya diselenggarakan di hari Minggu.,The service in the Catholic Church is usually held on Sunday.
The shadow play has begun.,Wayang itu mulai.
Wayang itu mulai.,The shadow play has begun.
The apartment has a small balcony.,Apartemen itu memiliki balkon kecil.
Apartemen itu memiliki balkon kecil.,The apartment has a small balcony.
He is the important figure of this country.,Beliau merupakan figur penting negara ini.
Beliau merupakan figur penting negara ini.,He is the important figure of this country.
"Do what’s best for you, I will always support you.","Lakukan yang terbaik bagimu, saya akan selalu mendukungmu."
"Lakukan yang terbaik bagimu, saya akan selalu mendukungmu.","Do what’s best for you, I will always support you."
"Thanks to his active exercise, he quickly recovers from the illness.","Berkat latihannya yang aktif, dia cepat sembuh dari sakit."
"Berkat latihannya yang aktif, dia cepat sembuh dari sakit.","Thanks to his active exercise, he quickly recovers from the illness."
"Because of his severe injury, he needs to be hospitalized in the hospital.","Karena kecelakaan yang parah, dia harus dirawat inap di rumah sakit."
"Karena kecelakaan yang parah, dia harus dirawat inap di rumah sakit.","Because of his severe injury, he needs to be hospitalized in the hospital."
"After undergoing therapy, he’s healthy now.","Setelah menjalani terapi, dia sudah sehat sekarang."
"Setelah menjalani terapi, dia sudah sehat sekarang.","After undergoing therapy, he’s healthy now."
Fatty food is not always the cause of heart attack.,Serangan jantung tidak selalu disebabkan makanan berlemak.
Serangan jantung tidak selalu disebabkan makanan berlemak.,Fatty food is not always the cause of heart attack.
My sister is unwrapping the present expectantly.,Adik membuka bungkus kado dengan penuh harap.
Adik membuka bungkus kado dengan penuh harap.,My sister is unwrapping the present expectantly.
It seems like there's a festival going on across the street.,Sepertinya sedang ada festival di seberang jalan.
Sepertinya sedang ada festival di seberang jalan.,It seems like there's a festival going on across the street.
Our bus stopped because it ran out of gas.,Bus kita berhenti karena kehabisan bensin.
Bus kita berhenti karena kehabisan bensin.,Our bus stopped because it ran out of gas.
"In the rainy season, it's important to bring an umbrella.","Di musim hujan, sangat penting untuk membawa payung."
"Di musim hujan, sangat penting untuk membawa payung.","In the rainy season, it's important to bring an umbrella."
Andi visits his father after the accident.,Andi menjenguk ayahnya setelah kecelakaan.
Andi menjenguk ayahnya setelah kecelakaan.,Andi visits his father after the accident.
I'm going to the store to buy some milk and eggs.,Saya mau ke toko membeli susu dan telur.
Saya mau ke toko membeli susu dan telur.,I'm going to the store to buy some milk and eggs.
"After getting the confirmation letter, you can apply for a visa.","Setelah mendapatkan surat konfirmasi, kamu bisa mengajukan permohonan visa."
"Setelah mendapatkan surat konfirmasi, kamu bisa mengajukan permohonan visa.","After getting the confirmation letter, you can apply for a visa."
"sebenarnya menurutku","actually, I think"
"actually, I think","sebenarnya menurutku"
"hampir","almost"
"almost","hampir"
"potong rambut","haircut; to cut hair"
"haircut; to cut hair","potong rambut"
"beberapa bagian","several parts"
"several parts","beberapa bagian"
"kilometer","kilometre"
"kilometre","kilometer"
"menerima","to receive"
"to receive","menerima"
"kondensasi","condensation"
"condensation","kondensasi"
"khususnya","especially"
"especially","khususnya"
"dinding","wall"
"wall","dinding"
"langit-langit","ceiling"
"ceiling","langit-langit"
"suara","sound; noise"
"sound; noise","suara"
"sebaliknya","on the contrary; the opposite"
"on the contrary; the opposite","sebaliknya"
"menetes","to drip"
"to drip","menetes"
"merasa","to feel"
"to feel","merasa"
"rabu","Wednesday"
"Wednesday","rabu"
"pedesaan","countryside"
"countryside","pedesaan"
"selalu ada sedikit salju setiap tahun","there is always a little snow every year"
"there is always a little snow every year","selalu ada sedikit salju setiap tahun"
"tergantung","it depends"
"it depends","tergantung"
"mencair","to melt"
"to melt","mencair"
"Minggu ini suhu paling rendah","this week the temperature is the lowest"
"this week the temperature is the lowest","Minggu ini suhu paling rendah"
"Setelah hari ini akan ada lebih banyak hujan","after today there will be more rain"
"after today there will be more rain","Setelah hari ini akan ada lebih banyak hujan"
"licin","slippery"
"slippery","licin"
"jalan lebih pelan","walk more slowly"
"walk more slowly","jalan lebih pelan"
"rendah","low (temperature)"
"low (temperature)","rendah"
"kecelakaan","accident"
"accident","kecelakaan"
"sepatu","shoes"
"shoes","sepatu"
"cuti","day off; leave"
"day off; leave","cuti"
"bos aku","my boss"
"my boss","bos aku"
"memindahkan hari liburku","to move my day off"
"to move my day off","memindahkan hari liburku"
"belum tahu","I don't know yet"
"I don't know yet","belum tahu"
"sarung tangan","gloves"
"gloves","sarung tangan"
"kulit","leather; skin"
"leather; skin","kulit"
"Sebenarnya menurutku cuacanya enak hari ini.","Actually, I think the weather is nice today."
"Actually, I think the weather is nice today.","Sebenarnya menurutku cuacanya enak hari ini."
"Aku merasa capek karena hampir tidak tidur tadi malam.","I feel tired because I almost didn't sleep last night."
"I feel tired because I almost didn't sleep last night.","Aku merasa capek karena hampir tidak tidur tadi malam."
"Di desa itu selalu ada sedikit salju setiap tahun.","In that village there is always a little snow every year."
"In that village there is always a little snow every year.","Di desa itu selalu ada sedikit salju setiap tahun."
"Tergantung bos aku, apakah aku dapat cuti atau tidak.","It depends on my boss whether I can get a day off or not."
"It depends on my boss whether I can get a day off or not.","Tergantung bos aku, apakah aku dapat cuti atau tidak."
"Jalanan licin, jadi kita jalan lebih pelan.","The road is slippery, so we walk more slowly."
"The road is slippery, so we walk more slowly.","Jalanan licin, jadi kita jalan lebih pelan."
"Minggu ini suhu paling rendah sepanjang tahun.","This week the temperature is the lowest of the year."
"This week the temperature is the lowest of the year.","Minggu ini suhu paling rendah sepanjang tahun."
"Setelah hari ini akan ada lebih banyak hujan.","After today there will be more rain."
"After today there will be more rain.","Setelah hari ini akan ada lebih banyak hujan."
"Kondensasi di langit-langit mulai menetes ke dinding.","Condensation on the ceiling is starting to drip onto the wall."
"Condensation on the ceiling is starting to drip onto the wall.","Kondensasi di langit-langit mulai menetes ke dinding."
"Aku dengar suara air menetes dari langit-langit.","I hear the sound of water dripping from the ceiling."
"I hear the sound of water dripping from the ceiling.","Aku dengar suara air menetes dari langit-langit."
"Di pedesaan jarak antar rumah hanya beberapa kilometer.","In the countryside the distance between houses is only a few kilometres."
"In the countryside the distance between houses is only a few kilometres.","Di pedesaan jarak antar rumah hanya beberapa kilometer."
"Kami berjalan beberapa bagian rute itu dengan lebih pelan.","We walked several parts of that route more slowly."
"We walked several parts of that route more slowly.","Kami berjalan beberapa bagian rute itu dengan lebih pelan."
"Pagi ini terjadi kecelakaan karena jalan sangat licin.","This morning there was an accident because the road was very slippery."
"This morning there was an accident because the road was very slippery.","Pagi ini terjadi kecelakaan karena jalan sangat licin."
"Bos aku memindahkan hari liburku ke hari Rabu.","My boss moved my day off to Wednesday."
"My boss moved my day off to Wednesday.","Bos aku memindahkan hari liburku ke hari Rabu."
"Aku belum tahu apakah bos aku akan menerima permintaan cuti.","I don't know yet whether my boss will accept my leave request."
"I don't know yet whether my boss will accept my leave request.","Aku belum tahu apakah bos aku akan menerima permintaan cuti."
"Hari ini aku potong rambut, khususnya karena sudah terlalu panjang.","Today I got a haircut, especially because it was already too long."
"Today I got a haircut, especially because it was already too long.","Hari ini aku potong rambut, khususnya karena sudah terlalu panjang."
"Kalau suhu sangat rendah, aku pakai sarung tangan dan sepatu kulit.","When the temperature is very low, I wear gloves and leather shoes."
"When the temperature is very low, I wear gloves and leather shoes.","Kalau suhu sangat rendah, aku pakai sarung tangan dan sepatu kulit."
"Di rumah lama itu, dindingnya dingin dan ada kondensasi.","In that old house, the walls are cold and there is condensation."
"In that old house, the walls are cold and there is condensation.","Di rumah lama itu, dindingnya dingin dan ada kondensasi."
"Di sana cuacanya dingin, tapi sebaliknya di sini suhunya rendah tapi kering.","There the weather is cold, but on the contrary here the temperature is low but dry."
"There the weather is cold, but on the contrary here the temperature is low but dry.","Di sana cuacanya dingin, tapi sebaliknya di sini suhunya rendah tapi kering."
"Jaraknya hampir sepuluh kilometer dari pedesaan ke kota.","The distance is almost ten kilometres from the countryside to the city."
"The distance is almost ten kilometres from the countryside to the city.","Jaraknya hampir sepuluh kilometer dari pedesaan ke kota."
"Aku merasa lebih aman kalau jalan lebih pelan di jalan licin.","I feel safer if I walk more slowly on a slippery road."
"I feel safer if I walk more slowly on a slippery road.","Aku merasa lebih aman kalau jalan lebih pelan di jalan licin."
koper,suitcase; luggage
suitcase; luggage,koper
cuti,time off work; leave from work
time off work; leave from work,cuti
penelitian,research (noun)
research (noun),penelitian
meneliti,to research; to study
to research; to study,meneliti
menyetir,to drive (a vehicle)
to drive (a vehicle),menyetir
mengendarai,to drive; to ride (a vehicle)
to drive; to ride (a vehicle),mengendarai
surat kabar,newspaper
newspaper,surat kabar
hal yang paling menyebalkan,the most annoying thing
the most annoying thing,hal yang paling menyebalkan
kebijakan,policy
policy,kebijakan
adil,fair; just
fair; just,adil
kelihatannya,it seems; it looks like
it seems; it looks like,kelihatannya
mengikuti,to follow
to follow,mengikuti
terbaru,newest; latest
newest; latest,terbaru
pemilihan umum,election; general election
election; general election,pemilihan umum
menebang hutan,to cut down the forest; to cut down the jungle
to cut down the forest; to cut down the jungle,menebang hutan
pabrik,factory
factory,pabrik
dampak,impact; effect
impact; effect,dampak
rok panjang,long skirt
long skirt,rok panjang
mahasiswa,university student
university student,mahasiswa
mengambil,to take; to collect; to pick up
to take; to collect; to pick up,mengambil
Saya membawa koper besar ke bandara.,I took a big suitcase to the airport.
I took a big suitcase to the airport.,Saya membawa koper besar ke bandara.
Minggu depan saya mau cuti selama dua hari.,Next week I want to take two days off work.
Next week I want to take two days off work.,Minggu depan saya mau cuti selama dua hari.
Dia sedang melakukan penelitian tentang lingkungan.,He is doing research on the environment.
He is doing research on the environment.,Dia sedang melakukan penelitian tentang lingkungan.
Saya meneliti data ini setiap hari.,I research these data every day.
I research these data every day.,Saya meneliti data ini setiap hari.
Ayah saya suka menyetir mobil sendiri.,My father likes to drive his car himself.
My father likes to drive his car himself.,Ayah saya suka menyetir mobil sendiri.
Dia belajar mengendarai motor.,He is learning to ride a motorbike.
He is learning to ride a motorbike.,Dia belajar mengendarai motor.
Saya membaca surat kabar setiap pagi.,I read the newspaper every morning.
I read the newspaper every morning.,Saya membaca surat kabar setiap pagi.
Macet di jalan itu adalah hal yang paling menyebalkan untuk saya.,The traffic jam on that road is the most annoying thing for me.
The traffic jam on that road is the most annoying thing for me.,Macet di jalan itu adalah hal yang paling menyebalkan untuk saya.
Perusahaan itu membuat kebijakan baru tentang kerja dari rumah.,That company made a new policy about working from home.
That company made a new policy about working from home.,Perusahaan itu membuat kebijakan baru tentang kerja dari rumah.
Menurut saya aturan itu tidak adil.,In my opinion that rule is not fair.
In my opinion that rule is not fair.,Menurut saya aturan itu tidak adil.
Kelihatannya dia lelah hari ini.,It seems she is tired today.
It seems she is tired today.,Kelihatannya dia lelah hari ini.
Banyak orang mengikuti berita pemilihan umum.,Many people follow the election news.
Many people follow the election news.,Banyak orang mengikuti berita pemilihan umum.
Saya suka membaca artikel terbaru di internet.,I like reading the newest articles on the internet.
I like reading the newest articles on the internet.,Saya suka membaca artikel terbaru di internet.
Pemilihan umum akan diadakan tahun depan.,The election will be held next year.
The election will be held next year.,Pemilihan umum akan diadakan tahun depan.
Menebang hutan tanpa aturan punya dampak besar untuk lingkungan.,Cutting down the forest without rules has a big impact on the environment.
Cutting down the forest without rules has a big impact on the environment.,Menebang hutan tanpa aturan punya dampak besar untuk lingkungan.
Di kota ini ada banyak pabrik tekstil.,In this city there are many textile factories.
In this city there are many textile factories.,Di kota ini ada banyak pabrik tekstil.
Dampak polusi dari pabrik itu sangat serius.,The impact of pollution from that factory is very serious.
The impact of pollution from that factory is very serious.,Dampak polusi dari pabrik itu sangat serius.
Dia memakai rok panjang ke kantor.,She wears a long skirt to the office.
She wears a long skirt to the office.,Dia memakai rok panjang ke kantor.
Adik saya seorang mahasiswa di Jakarta.,My younger sibling is a university student in Jakarta.
My younger sibling is a university student in Jakarta.,Adik saya seorang mahasiswa di Jakarta.
Tolong mengambil paket di resepsionis.,Please collect the package at reception.
Please collect the package at reception.,Tolong mengambil paket di resepsionis.
Saya sedang flu,I have a cold
I have a cold,Saya sedang flu
flu,flu
flu,flu
batuk,cough
cough,batuk
demam,fever
fever,demam
sakit tulang,bone pain / aching bones
bone pain,sakit tulang
hidung,nose
nose,hidung
bernapas,to breathe
to breathe,bernapas
pereda nyeri,painkiller
painkiller,pereda nyeri
perawat,nurse
nurse,perawat
meninggal,to die (human)
to die (human),meninggal
mati,to die (animal or plant)
to die (animal or plant),mati
Apakah kamu merasa lebih baik hari ini?,Do you feel better today?
Do you feel better today?,Apakah kamu merasa lebih baik hari ini?
Hari ini Kamis,Today is Thursday
Today is Thursday,Hari ini Kamis
Kamis,Thursday
Thursday,Kamis
saat ini,right now
right now,saat ini
berangin,windy
windy,berangin
langsung,immediately
immediately,langsung
ada,to exist / to be present
to exist,ada
punya,to have
to have,punya
memiliki,to possess (formal)
to possess,memiliki
perbedaan,difference
difference,perbedaan
walaupun,although / even though
although,walaupun
selain,besides
besides,selain
setidaknya satu orang,at least one person
at least one person,setidaknya satu orang
ternyata,it turns out
it turns out,ternyata
tidak seperti yang aku pikirkan,not like what I thought
not like what I thought,tidak seperti yang aku pikirkan
Aku ada ujian hari ini,I have an exam today
I have an exam today,Aku ada ujian hari ini
Aku punya mobil,I have a car
I have a car,Aku punya mobil
Kastil itu bersejarah,That castle is historic
That castle is historic,Kastil itu bersejarah
kastil,castle
castle,kastil
bersejarah,historic
historic,bersejarah
katedral,cathedral
cathedral,katedral
terkenal,famous
famous,terkenal
penting,important
important,penting
keluarga kerajaan,royal family
royal family,keluarga kerajaan
minyak zaitun,olive oil
olive oil,minyak zaitun
delima,pomegranate
pomegranate,delima
kalkun,turkey
turkey,kalkun
jual,to sell
to sell,jual
simpan,to save
to save,simpan
membandingkan,to compare
to compare,membandingkan
memutuskan,to decide
to decide,memutuskan
dibatalkan,cancelled
cancelled,dibatalkan
mereka menawarkan,they offered
they offered,mereka menawarkan
tidak berharga,not worth it
not worth it,tidak berharga
risiko,risk
risk,risiko
mengurangi,to reduce
to reduce,mengurangi
pilihan,choice / choices
choice,pilihan
tugas,task / tasks
task,tugas
aku terkejut,I am surprised
I am surprised,aku terkejut
pelanggan,customer
customer,pelanggan
hadiah,gift
gift,hadiah
kios,stall
stall,kios
pembungkus,wrapper / packaging
wrapper,pembungkus
di belakang kios,behind the kiosk
behind the kiosk,di belakang kios
parkir,to park
to park,parkir
kalung,necklace
necklace,kalung
sederhana,simple
simple,sederhana
curang,sneaky / cheeky
cheeky,curang
kategori,category
category,kategori
Saya membandingkan dua pilihan,I compare two choices
I compare two choices,Saya membandingkan dua pilihan
Walaupun hujan kami tetap pergi,Although it rained we still went
Although it rained we still went,Walaupun hujan kami tetap pergi
santai,relaxed / to relax
relaxed / to relax,santai
aku banyak jalan,I walked a lot
I walked a lot,aku banyak jalan
agak,quite / rather
quite / rather,agak
dewasa,adult
adult,dewasa
tetap terjaga,stay awake
stay awake,tetap terjaga
sekali lagi,one more time
one more time,sekali lagi
hari selanjutnya,the next day
the next day,hari selanjutnya
bersamaan,at the same time / together
at the same time / together,bersamaan
tengah malam,midnight
midnight,tengah malam
bahkan saat itu,even then
even then,bahkan saat itu
bawah tanah,underground / under the ground
underground / under the ground,bawah tanah
tempat paling penting,the most important place
the most important place,tempat paling penting
langit-langit,ceiling
ceiling,langit-langit
kembang api,fireworks
fireworks,kembang api
percikan,sparks / sparkles
sparks / sparkles,percikan
Swiss,Switzerland
Switzerland,Swiss
syarat,condition / requirement
condition / requirement,syarat
Aku santai hari ini.,I am relaxed today.
I am relaxed today.,Aku santai hari ini.
Aku agak lelah, tapi tetap terjaga.,I am quite tired, but I stay awake.
I am quite tired, but I stay awake.,Aku agak lelah, tapi tetap terjaga.
Aku banyak jalan kemarin.,I walked a lot yesterday.
I walked a lot yesterday.,Aku banyak jalan kemarin.
Sekali lagi, tolong jelaskan.,One more time, please explain.
One more time, please explain.,Sekali lagi, tolong jelaskan.
Hari selanjutnya aku santai di rumah.,The next day I relaxed at home.
The next day I relaxed at home.,Hari selanjutnya aku santai di rumah.
Kami datang bersamaan.,We arrived at the same time.
We arrived at the same time.,Kami datang bersamaan.
Aku tidur tengah malam.,I slept at midnight.
I slept at midnight.,Aku tidur tengah malam.
Bahkan saat itu, aku tetap terjaga.,Even then, I stayed awake.
Even then, I stayed awake.,Bahkan saat itu, aku tetap terjaga.
Kembang api terlihat di langit.,Fireworks are visible in the sky.
Fireworks are visible in the sky.,Kembang api terlihat di langit.
Ada percikan cahaya di langit-langit.,There are sparks of light on the ceiling.
There are sparks of light on the ceiling.,Ada percikan cahaya di langit-langit.
Tempat itu paling penting bagi orang dewasa.,That place is the most important for adults.
That place is the most important for adults.,Tempat itu paling penting bagi orang dewasa.
Dia tinggal di bawah tanah.,He/She lives underground.
He/She lives underground.,Dia tinggal di bawah tanah.
Dia menyalakan kembang api.,He/She lit the fireworks.
He/She lit the fireworks.,Dia menyalakan kembang api.
Guru itu mengajarkan syaratnya.,The teacher explains the conditions.
The teacher explains the conditions.,Guru itu mengajarkan syaratnya.

"high-pitched","bernada tinggi"
"bernada tinggi","high-pitched"

"call","panggilan"
"panggilan","call"

"conversation","percakapan"
"percakapan","conversation"

"clear","jelas"
"jelas","clear"

"well","baik"
"baik","well"

"to increase","naik"
"naik","to increase / go up"

"to increase (formal)","meningkat"
"meningkat","to increase (formal)"

"to melt","meleleh"
"meleleh","to melt"

"to drive","menyetir"
"menyetir","to drive"

"to close","menutup"
"menutup","to close (verb)"

"closed / close","tutup"
"tutup","closed / close (state or command)"

"to find","menemukan"
"menemukan","to find"

"to throw away / waste","membuang"
"membuang","to throw away / waste"

"slow","lambat"
"lambat","slow"

"thick","tebal"
"tebal","thick"

"long","panjang"
"panjang","long"

"popular","populer"
"populer","popular"

"fun / enjoyable","menyenangkan"
"menyenangkan","fun / enjoyable"

"upset / annoyed","kesal"
"kesal","upset / annoyed"

"driver (formal)","pengemudi"
"pengemudi","driver (formal)"

"driver (informal)","sopir"
"sopir","driver (informal)"

"plastic","plastik"
"plastik","plastic"

"source","sumber"
"sumber","source"

"at the same time","secara bersamaan"
"secara bersamaan","at the same time"

"foreign","asing"
"asing","foreign"

"luckily","untungnya"
"untungnya","luckily"

"Can you hear me clearly?","Apakah kamu bisa mendengar saya dengan jelas?"
"Apakah kamu bisa mendengar saya dengan jelas?","Can you hear me clearly?"

"The call is high-pitched.","Panggilan itu bernada tinggi."
"Panggilan itu bernada tinggi.","The call is high-pitched."

"We are having a long conversation.","Kami sedang melakukan percakapan panjang."
"Kami sedang melakukan percakapan panjang.","We are having a long conversation."

"Prices increase at the same time.","Harga naik secara bersamaan."
"Harga naik secara bersamaan.","Prices increase at the same time."

"The ice starts to melt.","Es mulai meleleh."
"Es mulai meleleh.","The ice starts to melt."

"I drive the car slowly.","Saya menyetir mobil dengan lambat."
"Saya menyetir mobil dengan lambat.","I drive the car slowly."

"That driver is very experienced.","Sopir itu sangat berpengalaman."
"Sopir itu sangat berpengalaman.","That driver is very experienced."

"That film is popular and fun.","Film itu populer dan menyenangkan."
"Film itu populer dan menyenangkan.","That film is popular and fun."

"I’m upset because the call disconnected.","Saya kesal karena panggilan terputus."
"Saya kesal karena panggilan terputus.","I’m upset because the call disconnected."

"He found the source of the problem.","Dia menemukan sumber masalahnya."
"Dia menemukan sumber masalahnya.","He found the source of the problem."

"Don’t throw away plastic carelessly.","Jangan membuang plastik sembarangan."
"Jangan membuang plastik sembarangan.","Don’t throw away plastic carelessly."

"Luckily, he is not a foreigner.","Untungnya, dia bukan orang asing."
"Untungnya, dia bukan orang asing.","Luckily, he is not a foreigner."

"Please close the door.","Tolong tutup pintunya."
"Tolong tutup pintunya.","Please close the door."

barang,thing / item
thing / item,barang
spesifik,specific
specific,spesifik
lebar,wide
wide,lebar
kedua sisi,both sides
both sides,kedua sisi
terlambat,late
late,terlambat
matahari terbit,sunrise
sunrise,matahari terbit
musim kemarau,dry season
dry season,musim kemarau
jarang,rare / rarely
rare / rarely,jarang
bengkel,garage / mechanic
garage / mechanic,bengkel
otomatis,automatic
automatic,otomatis
merek,brand
brand,merek
keringat,sweat
sweat,keringat
menghilangkan,to remove
to remove,menghilangkan
rusak karena angin,damaged because of the wind
damaged because of the wind,rusak karena angin
hampir sama harganya dengan memperbaiki,it costs almost the same as fixing it
it costs almost the same as fixing it,hampir sama harganya dengan memperbaiki
Ini barang yang spesifik.,This is a specific item.
This is a specific item.,Ini barang yang spesifik.
Saya terlambat karena macet.,I’m late because of traffic.
I’m late because of traffic.,Saya terlambat karena macet.
Matahari terbit jam enam pagi.,The sun rises at six in the morning.
The sun rises at six in the morning.,Matahari terbit jam enam pagi.
Mobil ini otomatis.,This car is automatic.
This car is automatic.,Mobil ini otomatis.
Saya pergi ke bengkel.,I’m going to the garage.
I’m going to the garage.,Saya pergi ke bengkel.
Harganya hampir sama dengan memperbaiki.,The price is almost the same as fixing it.
The price is almost the same as fixing it.,Harganya hampir sama dengan memperbaiki.
Merek mobil itu terkenal.,That car brand is famous.
That car brand is famous.,Merek mobil itu terkenal.
Jalan ini lebar di kedua sisi.,This road is wide on both sides.
This road is wide on both sides.,Jalan ini lebar di kedua sisi.
Atap rumah rusak karena angin.,The roof is damaged because of the wind.
The roof is damaged because of the wind.,Atap rumah rusak karena angin.
Cuaca panas, banyak keringat.,The weather is hot, lots of sweat.
The weather is hot, lots of sweat.,Cuaca panas, banyak keringat.
Saya mau menghilangkan cat lama.,I want to remove the old paint.
I want to remove the old paint.,Saya mau menghilangkan cat lama.
Hujan jarang di musim kemarau.,Rain is rare in the dry season.
Rain is rare in the dry season.,Hujan jarang di musim kemarau.

tukang,repairman / tradesperson,Tukang itu bekerja di sini. = The repairman works here.
repairman / tradesperson,tukang,Tukang itu bekerja di sini. = The repairman works here.

peringatan,warning,Ada peringatan gempa. = There is an earthquake warning.
warning,peringatan,Ada peringatan gempa. = There is an earthquake warning.

gempa,earthquake,Ada gempa. = There is an earthquake.
earthquake,gempa,Ada gempa. = There is an earthquake.

tsunami,tsunami,Itu tsunami. = That is a tsunami.
tsunami,tsunami,Itu tsunami. = That is a tsunami.

gerakan,movement,Gerakan itu besar. = The movement is big.
movement,gerakan,Gerakan itu besar. = The movement is big.

Turki,Turkey,Turki negara besar. = Turkey is a big country.
Turkey,Turki,Turki negara besar. = Turkey is a big country.

adil,fair,Dia adil. = He/She is fair.
fair,adil,Dia adil. = He/She is fair.

perdana menteri,prime minister,Perdana menteri itu adil. = The prime minister is fair.
prime minister,perdana menteri,Perdana menteri itu adil. = The prime minister is fair.

paksa,force (root / noun),Paksa adalah kata dasar. = Paksa is the root word.
force,paksa,Paksa adalah kata dasar. = Paksa is the root word.

memaksa,to force,Gerakan itu memaksa anggota. = The movement forces members.
to force,memaksa,Gerakan itu memaksa anggota. = The movement forces members.

anggota,member,Dia anggota gerakan. = He/She is a member of the movement.
member,anggota,Dia anggota gerakan. = He/She is a member of the movement.

kenyataannya,the reality is…,Kenyataannya, itu benar. = The reality is, that is true.
the reality is…,kenyataannya,Kenyataannya, itu benar. = The reality is, that is true.

itu semakin buruk,it’s getting worse,Itu semakin buruk sekarang. = It’s getting worse now.
it’s getting worse,itu semakin buruk,Itu semakin buruk sekarang. = It’s getting worse now.

Is this time OK for you?,Apakah waktu ini cocok untuk kamu?
Apakah waktu ini cocok untuk kamu?,Is this time OK for you?

See you later,Sampai jumpa lagi
Sampai jumpa lagi,See you later

Pandemic,Pandemi
Pandemi,Pandemic

Coworker,Rekan kerja
Rekan kerja,Coworker

Used to / accustomed to,Terbiasa
Terbiasa,Used to / accustomed to

To retain / maintain,Mempertahankan
Mempertahankan,To retain / maintain

Mask,Masker
Masker,Mask

One of the,Salah satu
Salah satu,One of the

