Kami mendapat rumah murah di dekat sungai.,We got a cheap house near the river.
The room is messy.,Kamarnya berantakan.,lesson8 en-id phrase
There is a risk if we don’t protect the garden from animals.,Ada risiko jika kita tidak melindungi kebun dari hewan.
awal,early,lesson5 time id-en
Saya mandi dulu.,I'll shower first.,lesson8 id-en phrase
Petani di desa menjual buah segar dan murah.,"Farmers in the village sell fresh, cheap fruit."
thirty,tiga puluh
These days the weather is often bad.,Belakangan ini cuacanya sering rusak.,lesson7 en-id phrase
perapian,fireplace,lesson6 temperature id-en
to blend / mix (craft),racik,lesson3 shopping coffee en-id
trip,perjalanan,lesson7 transport en-id
ada diskon?,is there a discount?,lesson3 shopping shopping id-en
membaca,to read,lesson4 verbs id-en
repeat,ulang,lesson7 transport en-id
electric fan,kipas angin,lesson2 tenses household en-id
Sanur is usually safe,biasanya Sanur aman,lesson5 phrases-grammar en-id
cooked dish / cuisine,masakan,lesson6 food en-id
to rent / lease,sewa,lesson1 adjectives-prefixes rentals en-id
empat belas,fourteen
murah,cheap,lesson8 money-shopping id-en
area / region,kawasan,lesson4 safety-signs en-id
writer,penulis,lesson6 writing en-id
day,hari,lesson2 tenses time en-id
to shop,berbelanja,lesson8 money-shopping en-id
sekitar,around; about (approx.)
London is no longer safe,London sudah tidak aman lagi,lesson4 travel en-id
Dataran rendah itu jauh dari pantai.,Those lowlands are far from the beach.,lesson9 id-en phrase
to import,mengimpor
angin,wind / breeze,lesson2 tenses weather id-en
similar,mirip,lesson6 comparison en-id
senyap,silent,lesson8 qualities id-en
That mountain is friendly to beginner tourists.,Gunung itu ramah bagi wisatawan pemula.,lesson9 en-id phrase
ganteng,handsome (for men),lesson1 adjectives-prefixes quality id-en
verb-forming prefixes (active/intransitive),meN- / ber-,lesson1 adjectives-prefixes grammar en-id
takut,afraid,lesson9 descriptions id-en
minta,ask for,lesson5 phrases-grammar id-en
import (noun),impor
tulis ulang,rewrite,lesson7 transport id-en
Saya beruntung punya tetangga yang ramah.,I’m lucky to have a friendly neighbour.
terjadi,to happen; to occur,lesson8 time-change id-en
The fare for a car is more expensive than a bicycle.,Ongkos mobil lebih mahal dari sepeda.,lesson7 en-id phrase
Pacar saya suka buah impor.,My partner/girlfriend/boyfriend likes imported fruit.
anyone,siapa pun
animal,hewan,lesson6 feelings-animals en-id
di bawah,under / below,lesson8 location-reference id-en
previous home,rumah yang dulu
eight,delapan
We need to research the regulations before signing the agreement.,Kami perlu meneliti peraturan sebelum menandatangani perjanjian.
di dalam,inside,lesson2 tenses location id-en
janji,promise
to ask (a request),minta,lesson6 health-comm en-id
Ini pertama kali saya bertemu tetangga baru.,This is the first time I’ve met the new neighbour.
Bali lebih banyak budaya,Bali has more culture,lesson5 phrases-grammar id-en
That shop imports fruit from abroad.,Toko itu mengimpor buah dari luar negeri.
apa pun,anything
beautiful (for women/objects),cantik,lesson1 adjectives-prefixes quality en-id
seventy,tujuh puluh
Dalam dua tahun saya akan pindah.,In two years I will move.,lesson2 tenses id-en phrase
"""please help"" (urgent)",tolong,lesson4 verbs en-id
The hotel's location is convenient.,Lokasi hotel ini nyaman.,lesson9 en-id phrase
What happened last night?,Apa yang terjadi tadi malam?,lesson8 en-id phrase
just / only,saja,lesson7 grammar-expressions en-id
even (emphatic),bahkan,lesson8 quantifiers en-id
zero,nol (kosong)
delapan belas,eighteen
hari,day,lesson2 tenses time id-en
cancel,batal,lesson7 transport en-id
teh tawar,tea without sugar/milk,lesson3 shopping shopping id-en
I stayed in Jakarta for two months.,Saya tinggal di Jakarta selama dua bulan.,lesson2 tenses en-id phrase
We got a cheap house near the river.,Kami mendapat rumah murah di dekat sungai.
residential area,perumahan,lesson4 safety-signs en-id
pendingin,air conditioner / cooler,lesson6 temperature id-en
transportation,transportasi,lesson7 transport en-id
cooked rice,nasi,lesson8 food en-id
my neighbour(s),tetanggaku,lesson9 people-culture en-id
I don’t need anything / I need nothing.,Saya tidak butuh apa-apa.
July,Juli
ketika aku masih kecil,when I was little,lesson8 time-change id-en
telinga,ear,lesson6 health-comm id-en
"Beberapa teman ikut, tapi yang lain tidak.","Several friends joined, but others didn’t."
never,tidak pernah,lesson3 shopping frequency en-id
masalah,problem,lesson6 health-comm id-en
aja,just (colloq.),lesson7 grammar-expressions id-en
promise,janji
They are engaged but haven’t set a date yet.,Mereka sudah tunangan tetapi belum menentukan tanggal.
"times (once, twice…)",kali,lesson1 adjectives-prefixes frequency en-id
kipas angin,electric fan,lesson2 tenses household id-en
nasi,cooked rice,lesson8 food id-en
